line
 Halt. FBI!
 Yes sir. Sir?
 I did stop the perpetrators.
 Anywhere. I've just never seen the
 ocean before.
" Yes, sir."
 Sir?
 I take the skin off chicken.
 1322 last year in LA county. Up 26
 percent from the year before.
" Zero distortion, sir."
 I love these things.
 Not so far.
" The shit they pull, huh?"
 Punk. Quarterback Punk.
 Good move.
 They don't go for the vault?
 Smart. You burn time in the vault.
 Surgical. Look at them separate the
 dye packs. Dick and Ronny know
 their jobs.
" What's he talking about, Angelo?"
 Could've taken their gloves off
 before setting that card. Laser it
 for prints. Maybe held it to his
 teeth -- check the edges for saliva.
 Today was a scorcher. This Chevy
 doesn't have air conditioning...
" Well, what're your ideas on these"
 guys?
" So you're gonna coast to retirement,"
 when you could nail these guys and
 go out with come dignity.
 Sorry.
 Yeah. What's your theory?
 Oh well he must be a surfer.
 Candle wax. Car wax. Mustache wax?
 Could be anything. Guy's waxing his
 mustache at the beach. Gets sand in
 it. Wipes it off with a shoe. Shoe
 scuffs the counter.
 Sex wax? You're not into kinky
" shit, are you Angelo?"
 Thanks for the tip. I needed this
 knowledge.
 ... Four months. June to October.
 Mmmm...same the year before.
 They're traveling the rest of the
" year on the money, going where the"
 waves are...
 I think he needs a vacation.
 I don't.
 I'm twenty-five.
 Why can't I just walk around with
 this thing under my arm and act
 stoned? Ask a few questions.
" Angelo, this stuff is for little"
 rubber people who don't shave yet.
 Got it...
 Goddamn son-of-a--
 Fuck it.
" Well, I saw you and--"
" Hey! Uh, how do I get back in?"
 My name's Johnny Utah!
 I'm telling you so when you look
" back on this moment, you can"
 think... there was this guy named
 Utah and he was pretty much a dork
 but maybe not such a bad person and
 I let him drown in conditions he had
 no business being in whatsoever...
 when I could have easily helped him.
 Bye.
 Tyler Ann Endicott. Born 11-27-64.
 ... Exhibition of speed. Indecent
 exposure inside moving vehicle...
" Felony arrest! ""See adjoining"
" file""..."
 Kidnapping?!
 What else they got on her? I still
 haven't found anything I can really
" use. I gotta find an approach, a"
 way in -- here we go...
 Both parents deceased. Plane crash.
" San Diego, '84. Mmmm. Yeah,"
 definitely.
 Shrimp and fries.
 I need you to teach me.
 I'm serious.
" Well, I'm just gonna go back out"
 there till I catch on to it or break
 my neck.
" No, no. See, all my life I've done"
 things for other people. In high
 school I played football because my
 old man expected me to. Then my
 parents always figured I'd go to law
" school, so I did. Football"
 scholarship. Graduated Phi Beta
 Kappa--
" Wait, so I'm a big hero to my folks,"
 right?
 But two years ago they got killed in
 a car wreck and I just suddenly
 realized all my goals had been their
